1.26835e+11 1.49253e+11
1.82389e+11 1.49288e+11
9.63513e+10 1.45148e+11
1.53693e+11 1.64856e+11
1.10466e+11 2.17935e+11
2.04289e+11 2.14485e+11
9.54041e+10 1.02494e+11
1.24961e+11 1.53906e+11
1.19894e+11 9.68186e+10
1.63237e+11 1.3675e+11
1.69493e+11 1.94449e+11
1.55788e+11 1.54893e+11
1.95549e+11 1.96881e+11
1.69719e+11 1.83176e+11
1.40081e+11 1.65037e+11
1.19047e+11 8.76622e+10
1.61959e+11 1.30324e+11
5.82906e+10 1.277e+11
1.42238e+11 1.13768e+11
1.51132e+11 1.91841e+11
1.52079e+11 1.5203e+11
1.75744e+11 1.6312e+11
1.59287e+11 1.33512e+11
1.54195e+11 1.41476e+11
1.28316e+11 2.01126e+11
1.97518e+11 1.80441e+11
1.28895e+11 1.75942e+11
2.38067e+11 1.9373e+11
1.71192e+11 2.21875e+11
1.62871e+11 1.72626e+11
